Roll,Item
6,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked an Acorn <:Acorn:744756611792502795>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked a Chickaloo Tree Nut! <:Chickaloo_Tree_Nut:744756613448990764>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You caught a Fairy <:fairy:629098628769906688>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
6,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You harvested a Hylian Shroom <:Shroom_Hylian:744756624874537070>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You gathered an Apple <:Apple_item:744756612085841980>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked a Cane Sugar! <:Cane_Sugar_Icon:744756613684134018>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked an Endura Carrot! <:Carrot_Endura:744756613814026310>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You gathered a Fleet-Lotus Seeds <:FleetLotus_Seeds:744756614107627596>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You gathered a Hearty Durian <:Hearty_Durian:744756623620178041>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You gathered a Hydromelon <:Hydromelon:744756625457283112>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked a Hyrule Herb! <:Hyrule_Herb:744756625046503505>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You gathered a Mighty Bananas <:Mighty_Bananas:744756624291528786>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked a Mighty Thistle! <:Mighty_Thistle:744756171780391052>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You gathered a Palm Fruit <:Palm_Fruit:744756624857497691>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked a Swift Carrot! <:Carrot_Swift:744756613793185873>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You gathered a Thornberry <:Thornberry:938273747503300638>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You gathered a Voltfruit <:Voltfruit:744756624966680697>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
5,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You collected a Wood <:Item_Wood:744752612339089479>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"
1,"
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ```
You picked a Carrumpkin! <:Carrumpkin:938273746999988235>
```ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ"